	SRR21726537_dairy1	SRR21726538_dairy2	SRR21726539_dairy3	SRR21726540_dairy4	SRR21726541_dairy5	SRR21726542_dairy6	SRR21726543_dairy7	SRR21726544_dairy8	SRR21726545_meat1	SRR21726546_meat2	SRR21726547_meat3	SRR21726548_meat4	SRR21726549_meat5	SRR21726550_meat6	SRR21726551_meat7	SRR21726552_meat8
ASV_1	0	8200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2	0	7568	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3	0	6913	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4	0	6756	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_5	0	6326	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_6	0	6208	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7	0	5334	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8	0	4637	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_9	0	4548	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10	0	4540	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11	0	3988	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_12	0	3866	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_13	0	3701	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_14	0	3511	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_15	0	0	3438	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_16	0	0	3409	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_17	0	0	3143	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_18	0	3127	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_19	0	3095	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_20	0	0	3029	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_21	0	0	2937	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_22	0	2903	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_23	0	2897	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_24	0	0	2863	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_25	0	0	2859	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_26	0	0	2845	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_27	0	0	2813	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28	0	0	2574	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_29	0	0	2497	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_30	0	0	2464	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_31	0	0	2460	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_32	0	0	2457	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_33	0	0	2299	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_34	0	0	2077	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_35	0	0	1997	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_36	0	0	1981	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_37	0	0	1859	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_38	1563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_39	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_40	0	0	1492	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_41	1473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_42	0	0	1461	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_43	0	0	1460	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_44	0	0	1393	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_45	0	0	1374	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_46	1340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_47	1334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_48	0	1332	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_49	1325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_50	0	0	1283	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_51	1259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_52	1256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_53	0	0	1234	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_54	0	0	1220	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_55	1216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_56	0	0	1215	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_57	1208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_58	0	0	1191	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_59	1166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_60	0	0	1158	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_61	0	0	1148	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_62	0	0	1146	0	0	0	0	0	0	0	0	0	0	0	0	0
